cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_irq=0,usage_softirq=0,usage_steal=2.631578947365855,usage_guest=0,usage_guest_nice=0,usage_user=0,usage_system=0,usage_iowait=0,usage_idle=97.36842105259426,usage_nice=0 1727522990000000000

cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_user=0.09689922480604783,usage_system=0.0968992248061167,usage_idle=96.51162790697346,usage_iowait=0.0968992248061167,usage_steal=3.197674418601782,usage_nice=0,usage_irq=0,usage_softirq=0,usage_guest=0,usage_guest_nice=0 1727523010000000000

cpu,cpu=cpu0,host=ip-172-31-47-29 usage_softirq=0,usage_system=0,usage_nice=0,usage_iowait=0,usage_irq=0,usage_guest_nice=0,usage_user=0,usage_idle=97.65395894437162,usage_steal=2.3460410557172757,usage_guest=0 1727523040000000000

cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_steal=2.3460410557172757,usage_guest_nice=0,usage_user=0,usage_idle=97.65395894437162,usage_irq=0,usage_softirq=0,usage_guest=0,usage_system=0,usage_nice=0,usage_iowait=0 1727523040000000000

cpu,cpu=cpu0,host=ip-172-31-47-29 usage_guest=0,usage_user=0.19880715705751423,usage_nice=0,usage_irq=0,usage_softirq=0,usage_guest_nice=0,usage_system=0,usage_idle=99.1053677931317,usage_iowait=0,usage_steal=0.6958250497025711 1727523050000000000

cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_softirq=0,usage_guest=0,usage_irq=0,usage_system=0,usage_idle=99.1053677931317,usage_nice=0,usage_iowait=0,usage_steal=0.6958250497025711,usage_guest_nice=0,usage_user=0.19880715705751423 1727523050000000000

mem,host=ip-172-31-47-29 active=253337600i,low_free=0i,page_tables=3416064i,slab=119791616i,used_percent=18.539960751194396,cached=624873472i,high_free=0i,mapped=199864320i,write_back=0i,available_percent=63.18894505575207,shared=929792i,swap_total=0i,available=634380288i,used=186130432i,free=175067136i,inactive=394653696i,vmalloc_used=8695808i,commit_limit=501968896i,huge_page_size=2097152i,sreclaimable=69443584i,sunreclaim=50348032i,vmalloc_chunk=0i,total=1003941888i,committed_as=584654848i,high_total=0i,low_total=0i,swap_free=0i,buffered=17870848i,dirty=0i,swap_cached=0i,write_back_tmp=0i,huge_pages_free=0i,huge_pages_total=0i,vmalloc_total=35184372087808i 1727523050000000000

cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_idle=94.42344045372013,usage_nice=0,usage_iowait=0,usage_irq=0,usage_softirq=0,usage_steal=5.576559546309957,usage_guest_nice=0,usage_system=0,usage_guest=0,usage_user=0 1727523060000000000

mem,host=ip-172-31-47-29 active=253337600i,huge_pages_total=0i,sreclaimable=69443584i,swap_cached=0i,vmalloc_chunk=0i,available=634380288i,low_total=0i,high_total=0i,low_free=0i,vmalloc_total=35184372087808i,vmalloc_used=8695808i,write_back=0i,used_percent=18.539960751194396,committed_as=584654848i,free=175067136i,inactive=394653696i,slab=119791616i,available_percent=63.18894505575207,mapped=199864320i,swap_total=0i,total=1003941888i,dirty=0i,huge_pages_free=0i,swap_free=0i,cached=624873472i,shared=929792i,write_back_tmp=0i,page_tables=3416064i,buffered=17870848i,commit_limit=501968896i,high_free=0i,huge_page_size=2097152i,sunreclaim=50348032i,used=186130432i 1727523080000000000

cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_guest_nice=0,usage_irq=0,usage_softirq=0,usage_steal=1.4792899408293843,usage_guest=0,usage_iowait=0,usage_user=0,usage_system=0,usage_idle=98.52071005922892,usage_nice=0 1727523100000000000

cpu,cpu=cpu0,host=ip-172-31-47-29 usage_system=0,usage_iowait=0,usage_irq=0,usage_softirq=0,usage_steal=1.3806706114366845,usage_guest=0,usage_user=0.09861932938833459,usage_idle=98.52071005908753,usage_nice=0,usage_guest_nice=0 1727523130000000000

cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_guest=0,usage_guest_nice=0,usage_system=0,usage_idle=98.91089108910377,usage_softirq=0,usage_steal=1.0891089108917222,usage_user=0,usage_nice=0,usage_iowait=0,usage_irq=0 1727523140000000000

