cpu,cpu=cpu-total,host=ip-172-31-47-29 usage_steal=4.214559386968407,usage_guest=0,usage_guest_nice=0,usage_user=0,usage_system=0,usage_nice=0,usage_irq=0,usage_idle=95.78544061300546,usage_iowait=0,usage_softirq=0 1727522980000000000

mem,host=ip-172-31-47-29 total=1003941888i,low_free=0i,vmalloc_used=8695808i,free=175325184i,huge_page_size=2097152i,sunreclaim=50348032i,vmalloc_chunk=0i,active=253337600i,mapped=199864320i,write_back_tmp=0i,swap_total=0i,used=185896960i,cached=624873472i,high_free=0i,high_total=0i,shared=929792i,used_percent=18.51670522188631,buffered=17846272i,low_total=0i,swap_cached=0i,available=634613760i,available_percent=63.21220058506016,dirty=0i,huge_pages_free=0i,huge_pages_total=0i,inactive=394629120i,page_tables=3416064i,slab=119791616i,commit_limit=501968896i,committed_as=584654848i,vmalloc_total=35184372087808i,write_back=0i,sreclaimable=69443584i,swap_free=0i 1727523000000000000

mem,host=ip-172-31-47-29 inactive=394645504i,low_total=0i,sunreclaim=50348032i,free=175067136i,high_total=0i,huge_pages_free=0i,page_tables=3416064i,vmalloc_used=8695808i,available=634372096i,available_percent=63.18812907226758,cached=624873472i,shared=929792i,sreclaimable=69443584i,vmalloc_chunk=0i,write_back_tmp=0i,active=253337600i,commit_limit=501968896i,committed_as=584654848i,swap_cached=0i,swap_free=0i,huge_pages_total=0i,mapped=199864320i,swap_total=0i,vmalloc_total=35184372087808i,used_percent=18.54077673467889,dirty=8192i,slab=119791616i,write_back=0i,used=186138624i,buffered=17862656i,high_free=0i,total=1003941888i,huge_page_size=2097152i,low_free=0i 1727523010000000000

mem,host=ip-172-31-47-29 vmalloc_used=8695808i,write_back=0i,huge_page_size=2097152i,vmalloc_total=35184372087808i,commit_limit=501968896i,shared=929792i,total=1003941888i,available_percent=63.18812907226758,swap_free=0i,vmalloc_chunk=0i,inactive=394645504i,slab=119791616i,cached=624873472i,swap_cached=0i,low_total=0i,write_back_tmp=0i,available=634372096i,low_free=0i,high_free=0i,page_tables=3416064i,swap_total=0i,used_percent=18.54077673467889,buffered=17862656i,committed_as=584654848i,dirty=0i,free=175067136i,high_total=0i,huge_pages_free=0i,sreclaimable=69443584i,used=186138624i,active=253337600i,sunreclaim=50348032i,huge_pages_total=0i,mapped=199864320i 1727523020000000000

mem,host=ip-172-31-47-29 swap_total=0i,vmalloc_used=8695808i,write_back_tmp=0i,free=175067136i,low_total=0i,dirty=0i,high_free=0i,sunreclaim=50348032i,vmalloc_chunk=0i,total=1003941888i,available=634380288i,used=186130432i,shared=929792i,cached=624873472i,huge_pages_free=0i,huge_page_size=2097152i,page_tables=3416064i,slab=119791616i,sreclaimable=69443584i,write_back=0i,commit_limit=501968896i,high_total=0i,buffered=17870848i,huge_pages_total=0i,inactive=394653696i,mapped=199864320i,swap_cached=0i,swap_free=0i,used_percent=18.539960751194396,available_percent=63.18894505575207,low_free=0i,vmalloc_total=35184372087808i,active=253337600i,committed_as=584654848i 1727523060000000000

mem,host=ip-172-31-47-29 commit_limit=501968896i,committed_as=584654848i,free=175067136i,low_free=0i,mapped=199864320i,used_percent=18.539960751194396,buffered=17870848i,high_total=0i,sunreclaim=50348032i,swap_total=0i,dirty=0i,high_free=0i,swap_free=0i,available=634380288i,cached=624873472i,total=1003941888i,huge_page_size=2097152i,slab=119791616i,sreclaimable=69443584i,swap_cached=0i,available_percent=63.18894505575207,active=253337600i,low_total=0i,page_tables=3416064i,shared=929792i,vmalloc_total=35184372087808i,used=186130432i,huge_pages_free=0i,write_back_tmp=0i,write_back=0i,inactive=394653696i,vmalloc_chunk=0i,huge_pages_total=0i,vmalloc_used=8695808i 1727523070000000000

cpu,cpu=cpu0,host=ip-172-31-47-29 usage_steal=2.8210116731517165,usage_guest=0,usage_idle=97.17898832676866,usage_nice=0,usage_iowait=0,usage_irq=0,usage_softirq=0,usage_guest_nice=0,usage_user=0,usage_system=0 1727523090000000000

cpu,cpu=cpu0,host=ip-172-31-47-29 usage_user=0,usage_nice=0,usage_guest_nice=0,usage_irq=0,usage_softirq=0,usage_steal=1.4792899408293843,usage_guest=0,usage_system=0,usage_idle=98.52071005922892,usage_iowait=0 1727523100000000000

cpu,cpu=cpu0,host=ip-172-31-47-29 usage_idle=97.74951076324632,usage_irq=0,usage_guest_nice=0,usage_guest=0,usage_user=0,usage_system=0,usage_nice=0,usage_iowait=0,usage_softirq=0,usage_steal=2.2504892367937326 1727523120000000000

mem,host=ip-172-31-47-29 committed_as=584654848i,commit_limit=501968896i,huge_pages_total=0i,swap_free=0i,write_back=0i,used=186130432i,shared=929792i,sreclaimable=69443584i,vmalloc_chunk=0i,cached=624873472i,dirty=0i,free=175067136i,sunreclaim=50348032i,vmalloc_used=8695808i,write_back_tmp=0i,buffered=17870848i,low_free=0i,slab=119791616i,available=634380288i,active=253337600i,mapped=199864320i,swap_total=0i,used_percent=18.539960751194396,available_percent=63.18894505575207,high_free=0i,high_total=0i,inactive=394653696i,swap_cached=0i,vmalloc_total=35184372087808i,total=1003941888i,huge_page_size=2097152i,low_total=0i,page_tables=3416064i,huge_pages_free=0i 1727523120000000000

